26.120s fstrim.service
11.381s boot-efi.mount
 6.563s plymouth-quit-wait.service
 5.721s NetworkManager-wait-online.service
 3.524s fwupd-refresh.service
 2.233s gpu-manager.service
 2.155s snapd.seeded.service
 2.055s NetworkManager.service
 1.473s snapd.service
 1.308s systemd-backlight@backlight:intel_backlight.service
 1.155s dev-sda5.device
 1.069s apport.service
 1.064s fwupd.service
 1.026s thermald.service
  993ms gnome-remote-desktop.service
  927ms power-profiles-daemon.service
  920ms polkit.service
  835ms accounts-daemon.service
  786ms udisks2.service
  766ms secureboot-db.service
  701ms avahi-daemon.service
  665ms bluetooth.service
  577ms rsyslog.service
  529ms apparmor.service
  496ms user@1000.service
  482ms upower.service
  479ms switcheroo-control.service
  440ms systemd-logind.service
  416ms systemd-tmpfiles-setup.service
  411ms systemd-udev-trigger.service
  409ms dpkg-db-backup.service
  406ms e2scrub_reap.service
  386ms dbus.service
  370ms sysstat.service
  350ms systemd-rfkill.service
  292ms systemd-resolved.service
  284ms update-notifier-download.service
  284ms ModemManager.service
  271ms systemd-journal-flush.service
  240ms ssh.service
  240ms systemd-binfmt.service
  222ms dev-loop1.device
  220ms dev-loop5.device
  220ms keyboard-setup.service
  213ms dev-loop4.device
  208ms dev-loop2.device
  205ms snapd.apparmor.service
  196ms dev-loop3.device
  196ms snapd.socket
  195ms dev-loop0.device
  194ms dev-loop6.device
  185ms proc-sys-fs-binfmt_misc.mount
  180ms dev-loop7.device
  179ms cups.service
  178ms systemd-journald.service
  175ms gdm.service
  151ms systemd-oomd.service
  150ms dev-loop8.device
  137ms systemd-timesyncd.service
  127ms systemd-tmpfiles-clean.service
  122ms systemd-modules-load.service
  116ms systemd-udevd.service
  101ms systemd-user-sessions.service
  100ms user-runtime-dir@1000.service
   99ms wpa_supplicant.service
   96ms colord.service
   91ms systemd-remount-fs.service
   89ms grub-common.service
   71ms snap-core22-2292.mount
   71ms dev-hugepages.mount
   70ms dev-mqueue.mount
   69ms snap-bare-5.mount
   69ms sys-kernel-tracing.mount
   69ms sys-kernel-debug.mount
   69ms snap-firefox-7766.mount
   65ms systemd-fsck@dev-disk-by\x2duuid-4E15\x2dE1F6.service
   65ms snap-firmware\x2dupdater-210.mount
   63ms openvpn.service
   59ms kerneloops.service
   59ms sys-fs-fuse-connections.mount
   58ms systemd-random-seed.service
   58ms kmod-static-nodes.service
   58ms snap-gnome\x2d42\x2d2204-247.mount
   57ms modprobe@configfs.service
   56ms sys-kernel-config.mount
   54ms systemd-tmpfiles-setup-dev-early.service
   52ms modprobe@drm.service
   49ms rtkit-daemon.service
   46ms snap-gtk\x2dcommon\x2dthemes-1535.mount
   46ms systemd-sysctl.service
   42ms snap-snap\x2dstore-1270.mount
   41ms modprobe@fuse.service
   39ms plymouth-start.service
   37ms plymouth-read-write.service
   37ms motd-news.service
   36ms systemd-update-utmp.service
   36ms console-setup.service
   36ms systemd-update-utmp-runlevel.service
   36ms snap-snapd-25935.mount
   36ms sysstat-collect.service
   35ms systemd-tmpfiles-setup-dev.service
   35ms swap.img.swap
   34ms snap-snapd\x2ddesktop\x2dintegration-343.mount
   30ms grub-initrd-fallback.service
   28ms ufw.service
   24ms systemd-backlight@leds:platform::kbd_backlight.service
   24ms modprobe@dm_mod.service
   23ms alsa-restore.service
   20ms modprobe@efi_pstore.service
   16ms modprobe@loop.service
   12ms setvtrgb.service
